INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 0, 0, 'ALFRED', 'Noa', 'noa.alfred@live.fr', '75000', '7 rue du grand chemin', 'Organisme 2', '2002-09-29 00:00:00', CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 0, 0, 'ALBERT', 'Albert', 'albert.albert@hotmail.com', '75000', '43 ter impasse de l''auberge', 'Organisme 2', CURDATE(), CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 1, 0, 'MARTIN', 'Jules', 'jules.martin@gmail.com', '75000', '13 bis rue du grand chemin', 'Organisme 4', CURDATE(), CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 0, 1, 'SILVA', 'Max', 'max.silva@free.fr', '75000', '36 bis boulevard du chemin Vert', 'Organisme 2', '2010-08-01 00:00:00', CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 1, 0, 'DEVIL', 'Matthieu', 'matthieu.devil@orange.net', '75000', '19 avenue Général de Gaulle', 'Organisme 2', CURDATE(), CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 0, 0, 'SOLAU', 'Renaud', 'renaud.solau@msn.com', '75000', '36 ter rue de la clairière', 'Organisme 2', '2005-05-12 00:00:00', CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 1, 1, 'ROBERT', 'Albert', 'albert.robert@msn.com', '75000', '28 avenue Général Buat', 'Organisme 3', '2001-10-26 00:00:00', '2002-04-02 00:00:00');
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 1, 1, 'TADIO', 'Vincent', 'vincent.tadio@yahoo.fr', '75000', '8 ter avenue du grand Lac', 'Organisme 1', CURDATE(), CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 0, 0, 'JACK', 'Guillaume', 'guillaume.jack@yahoo.fr', '75000', '32 boulevard du petit chemin', 'Organisme 2', CURDATE(), CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 0, 1, 'MARTIN', 'James', 'james.martin@hotmail.com', '75000', '4 impasse de Lyon', 'Organisme 5', '2008-05-10 00:00:00', CURDATE());
INSERT INTO PARTENAIRE (ID_PAYS, ID_VILLE, ID_CIVILITE, PAR_IS_CLIENT, PAR_IS_VIP, PAR_NOM, PAR_PRENOM, PAR_PRO_COURRIEL, PAR_PRO_ADR_CP, PAR_PRO_ADR_RUE, PAR_ORGANISME, PAR_DATE_CREATION, PAR_DATE_MODIFICATION) VALUES (62, 2664, 2, 1, 0, 'JEAN', 'Max', 'max.jean@orange.net', '75000', '41 bis impasse du petit chemin', 'Organisme 3', '2002-06-10 00:00:00', CURDATE());
